en-CA;CCAD2020MLPCM;5252593200;CorelCAD 2020;899;719;;CA$ 180;-20%;($180)
en-CA;ESDCCAD2020ML;217585;CorelCAD 2020;899;719;;CA$ 180;-20%;($180)
en-CA;ESDCCAD2020MLUG;217586;CorelCAD 2020;259;204;;CA$ 55;-21%;($55)
da-DK;ESDCCAD2020ML;217585;CorelCAD 2020;6,240;4,992;;20%;-20%;($1,248)
da-DK;ESDCCAD2020MLUG;217586;CorelCAD 2020;1,769;1,415;;20%;-20%;($354)
de-DE;ESDCCAD2020ML;217585;CorelCAD 2020;829,99;663,99;;20 %;-20%;($166)
de-DE;ESDCCAD2020MLUG;217586;CorelCAD 2020;239,99;189,99;;20 %;-21%;($50)
de-LI;ESDCCAD2020ML;217585;CorelCAD 2020;930;744;;20%;-20%;($186)
de-LI;ESDCCAD2020MLUG;217586;CorelCAD 2020;265;212;;20%;-20%;($53)
en-AU;ESDCCAD2020ML;217585;CorelCAD 2020;999;799;;20%;-20%;($200)
en-AU;ESDCCAD2020MLUG;217586;CorelCAD 2020;285;228;;20%;-20%;($57)
en-GB;ESDCCAD2020ML;217585;CorelCAD 2020;799.99;639.99;;20%;-20%;($160)
en-GB;ESDCCAD2020MLUG;217586;CorelCAD 2020;232.99;184.99;;20%;-21%;($48)
en-IE;ESDCCAD2020ML;217585;CorelCAD 2020;829.99;663.99;;20%;-20%;($166)
en-IE;ESDCCAD2020MLUG;217586;CorelCAD 2020;239.99;189.99;;20%;-21%;($50)
en-NZ;ESDCCAD2020ML;217585;CorelCAD 2020;869;695;;20%;-20%;($174)
en-NZ;ESDCCAD2020MLUG;217586;CorelCAD 2020;249;199;;20%;-20%;($50)
en-US;CCAD2020MLPCM;5252593200;CorelCAD 2020;699;559;;$140;-20%;($140)
en-US;ESDCCAD2020ML;217585;CorelCAD 2020;699;559;;$140;-20%;($140)
en-US;ESDCCAD2020MLUG;217586;CorelCAD 2020;199;159;;$40;-20%;($40)
en-ZA;ESDCCAD2020ML;217585;CorelCAD 2020;7 999;6 399;;20%;-20%;($1,600)
en-ZA;ESDCCAD2020MLUG;217586;CorelCAD 2020;2 290;1 832;;20%;-20%;($458)
fr-FR;ESDCCAD2020ML;217585;CorelCAD 2020;829,99;663,99;;20 %;-20%;($166)
fr-FR;ESDCCAD2020MLUG;217586;CorelCAD 2020;239,99;189,99;;20 %;-21%;($50)
it-IT;ESDCCAD2020ML;217585;CorelCAD 2020;829,99;663,99;;20%;-20%;($166)
it-IT;ESDCCAD2020MLUG;217586;CorelCAD 2020;239,99;189,99;;20%;-21%;($50)
ja-JP;ESDCCAD2020ML;217585;CorelCAD 2020;74,520;59,580;;20%;-20%;($14,940)
ja-JP;ESDCCAD2020MLUG;217586;CorelCAD 2020;36,720;29,380;;20%;-20%;($7,340)
nb-NO;ESDCCAD2020ML;217585;CorelCAD 2020;6,769;5,415;;20%;-20%;($1,354)
nb-NO;ESDCCAD2020MLUG;217586;CorelCAD 2020;1,929;1,543;;20%;-20%;($386)
nl-NL;ESDCCAD2020ML;217585;CorelCAD 2020;829,99;663,99;;20%;-20%;($166)
nl-NL;ESDCCAD2020MLUG;217586;CorelCAD 2020;239,99;189,99;;20%;-21%;($50)
se-SE;ESDCCAD2020ML;217585;CorelCAD 2020;7,955;6,364;;20%;-20%;($1,591)
se-SE;ESDCCAD2020MLUG;217586;CorelCAD 2020;2,259;1,807;;20%;-20%;($452)
