en-CA;CCAD2020MLPCM;5134892000;CorelCAD 2020;899;764;;CA$ 135;-15%;($135)
en-CA;ESDCCAD2020ML;204960;CorelCAD 2020;899;764;;CA$ 135;-15%;($135)
en-CA;ESDCCAD2020MLUG;204961;CorelCAD 2020;259;219;;CA$ 40;-15%;($40)
de-DE;ESDCCAD2020ML;204960;CorelCAD 2020;829,99;704,99;;15 %;-15%;($125)
de-DE;ESDCCAD2020MLUG;204961;CorelCAD 2020;239,99;203,99;;15 %;-15%;($36)
en-AU;ESDCCAD2020ML;204960;CorelCAD 2020;999;849;;15%;-15%;($150)
en-AU;ESDCCAD2020MLUG;204961;CorelCAD 2020;285;242;;15%;-15%;($43)
en-GB;ESDCCAD2020ML;204960;CorelCAD 2020;799.99;679.99;;15%;-15%;($120)
en-GB;ESDCCAD2020MLUG;204961;CorelCAD 2020;232.99;197.99;;15%;-15%;($35)
en-US;CCAD2020MLPCM;5134892000;CorelCAD 2020;699;594;;$105;-15%;($105)
en-US;ESDCCAD2020ML;204960;CorelCAD 2020;699;594;;$105;-15%;($105)
en-US;ESDCCAD2020MLUG;204961;CorelCAD 2020;199;169;;$30;-15%;($30)
fr-FR;ESDCCAD2020ML;204960;CorelCAD 2020;829,99;704,99;;15 %;-15%;($125)
fr-FR;ESDCCAD2020MLUG;204961;CorelCAD 2020;239,99;203,99;;15 %;-15%;($36)
ja-JP;ESDCCAD2020ML;204960;CorelCAD 2020;74,520;63,280;;15%;-15%;($11,178)
ja-JP;ESDCCAD2020MLUG;204961;CorelCAD 2020;36,720;31,180;;15%;-15%;($5,508)
