en-CA;ESDCDE2020AM;225657;OL_DH22;169;134;;CA$ 35;-12%;($20)
cs-CZ;ESDCDE2020AM;225658;OL_DH22;4 010;3 409;;15%;-10%;($401)
da-DK;ESDCDE2020AM;225658;OL_DH22;1,115;947;;15%;-10%;($112)
de-DE;ESDCDE2020AM;225658;OL_DH22;130;109;;15 %;-12%;($15)
de-LI;ESDCDE2020AM;225658;OL_DH22;135;114;;15%;-11%;($15)
en-AU;ESDCDE2020AM;225658;OL_DH22;235;199;;15%;-11%;($25)
en-GB;ESDCDE2020AM;225658;OL_DH22;115;97;;15%;-10%;($11)
en-IE;ESDCDE2020AM;225658;OL_DH22;130;109;;15%;-12%;($15)
en-MY;ESDCDE2020AM;225658;OL_DH22;595;505;;15%;-10%;($60)
en-NZ;ESDCDE2020AM;225658;OL_DH22;255;216;;15%;-10%;($26)
en-RW;ESDCDE2020AM;225658;OL_DH22;155;130;;15%;-10%;($16)
en-SG;ESDCDE2020AM;225658;OL_DH22;199;169;;15%;-10%;($20)
en-US;ESDCDE2020AM;225657;OL_DH22;129;99;;$30;-12%;($15)
en-ZA;ESDCDE2020AM;225658;OL_DH22;2 825;2 400;;15%;-10%;($283)
es-AR;ESDCDE2020AM;225657;OL_DH22;8.375;6.700;;20%;-10%;($838)
es-CL;ESDCDE2020AM;225657;OL_DH22;111.675;89.340;;20%;-10%;($11,168)
es-CO;ESDCDE2020AM;225657;OL_DH22;618.275;494.620;;20%;-10%;($61,828)
es-ES;ESDCDE2020AM;225658;OL_DH22;130;109;;15%;-12%;($15)
es-MX;ESDCDE2020AM;225657;OL_DH22;3,190;2,552;;20%;-10%;($319)
es-PE;ESDCDE2020AM;225657;OL_DH22;445;356;;20%;-10%;($45)
fr-FR;ESDCDE2020AM;225658;OL_DH22;130;109;;15 %;-12%;($15)
it-IT;ESDCDE2020AM;225658;OL_DH22;130;109;;15%;-12%;($15)
ja-JP;ESDCDE2020AM;225658;OL_DH22;15,380;12,304;;20%;-10%;($1,580)
ko-KR;ESDCDE2020AM;225658;OL_DH22;159,850;135,870;;15%;-10%;($15,985)
nb-NO;ESDCDE2020AM;225658;OL_DH22;1,705;1,449;;15%;-10%;($171)
nl-NL;ESDCDE2020AM;225658;OL_DH22;130;109;;15%;-12%;($15)
pl-PL;ESDCDE2020AM;225658;OL_DH22;670;569;;15%;-10%;($67)
pt-BR;ESDCDE2020AM;225658;OL_DH22;685;548;;20%;-10%;($70)
se-SE;ESDCDE2020AM;225658;OL_DH22;1,640;1,394;;15%;-10%;($164)
zh-HK;ESDCDE2020AM;225658;OL_DH22;1,000;850;;15%;-10%;($100)
zh-TW;ESDCDE2020AM;225658;OL_DH22;4,099;3,484;;15%;-10%;($410)
