en-CA;ESDPSP2021ULML;221287;PSP_2020_ULT;99.99;59.99;;40%;-40%;(-$40)
en-CA;ESDPSP2021ULMUG;221398;PSP_2020_ULT;79.99;47.99;;40%;-40%;(-$32)
de-DE;ESDPSP2021ULML;221287;PSP_2020_ULT;89,99;53,99;;40 %;-28%;(-$25)
de-DE;ESDPSP2021ULMUG;221398;PSP_2020_ULT;69,99;41,99;;40 %;-29%;(-$20)
en-AU;ESDPSP2021ULML;221287;PSP_2020_ULT;149;89;;40%;-26%;(-$38)
en-AU;ESDPSP2021ULMUG;221398;PSP_2020_ULT;119;71;;40%;-40%;(-$30)
en-GB;ESDPSP2021ULML;221287;PSP_2020_ULT;89.99;53.99;;40%;-28%;(-$25)
en-GB;ESDPSP2021ULMUG;221398;PSP_2020_ULT;69.99;41.99;;40%;-29%;(-$20)
en-US;ESDPSP2021ULML;221287;PSP_2020_ULT;99.99;59.99;;40%;-40%;(-$40)
en-US;ESDPSP2021ULMUG;221398;PSP_2020_ULT;79.99;47.99;;40%;-40%;(-$32)
fr-FR;ESDPSP2021ULML;221287;PSP_2020_ULT;89,99;53,99;;40 %;-28%;(-$25)
fr-FR;ESDPSP2021ULMUG;221398;PSP_2020_ULT;69,99;41,99;;40 %;-29%;(-$20)
it-IT;ESDPSP2021ULML;221287;PSP_2020_ULT;89,99;53,99;;40%;-28%;(-$25)
it-IT;ESDPSP2021ULMUG;221398;PSP_2020_ULT;69,99;41,99;;40%;-29%;(-$20)
ja-JP;ESDPSP2021ULML;221287;PSP_2020_ULT;13,800;8,280;;40%;-26%;(-$3,520)
ja-JP;ESDPSP2021ULMUG;221398;PSP_2020_ULT;9,480;5,680;;40%;-40%;(-$2,400)
nl-NL;ESDPSP2021ULML;221287;PSP_2020_ULT;89,99;53,99;;40%;-28%;(-$25)
nl-NL;ESDPSP2021ULMUG;221398;PSP_2020_ULT;69,99;41,99;;40%;-29%;(-$20)
pt-BR;ESDPSP2021ULML;221287;PSP_2020_ULT;389;233;;40%;-40%;(-$98)
pt-BR;ESDPSP2021ULMUG;221398;PSP_2020_ULT;309;185;;40%;-40%;(-$78)
