en-CA;ESDPVS2021ML;227071;PVB_2021;159.99;143.99;;10%;-10%;($16)
da-DK;ESDPVS2021ML;227071;PVB_2021;1,098;988;;10%;-10%;($110)
de-DE;ESDPVS2021ML;227071;PVB_2021;139,99;124,99;;10 %;-11%;($15)
de-LI;ESDPVS2021ML;227071;PVB_2021;159.95;143.95;;10%;-10%;($16)
en-AU;ESDPVS2021ML;227071;PVB_2021;249;224;;10%;-10%;($25)
en-GB;ESDPVS2021ML;227071;PVB_2021;139.99;124.99;;10%;-11%;($15)
en-IE;ESDPVS2021ML;227071;PVB_2021;139.99;124.99;;10%;-11%;($15)
en-IN;ESDPVS2021ML;227071;PVB_2021;10,400;9,360;;10%;-10%;($1,040)
en-MY;ESDPVS2021ML;227071;PVB_2021;670;603;;10%;-10%;($67)
en-NZ;ESDPVS2021ML;227071;PVB_2021;269;242;;10%;-10%;($27)
en-SG;ESDPVS2021ML;227071;PVB_2021;199;179;;10%;-10%;($20)
en-US;ESDPVS2021ML;227071;PVB_2021;159.99;143.99;;10%;-10%;($16)
en-ZA;ESDPVS2021ML;227071;PVB_2021;2 200;1 980;;10%;-10%;($220)
es-ES;ESDPVS2021ML;227071;PVB_2021;139,99;124,99;;10%;-11%;($15)
es-MX;ESDPVS2021ML;227071;PVB_2021;3,800;3,420;;10%;-10%;($380)
fr-FR;ESDPVS2021ML;227071;PVB_2021;139,99;124,99;;10 %;-11%;($15)
it-IT;ESDPVS2021ML;227071;PVB_2021;139,99;124,99;;10%;-11%;($15)
ja-JP;ESDPVS2021ML;227071;PVB_2021;23,480;21,080;;10%;-10%;($2,400)
ko-KR;ESDPVS2021ML;227071;PVB_2021;176,000;158,400;;10%;-10%;($17,600)
nb-NO;ESDPVS2021ML;227071;PVB_2021;1,198;1,078;;10%;-10%;($120)
nl-NL;ESDPVS2021ML;227071;PVB_2021;139,99;124,99;;10%;-11%;($15)
pl-PL;ESDPVS2021ML;227071;PVB_2021;599;539;;10%;-10%;($60)
pt-BR;ESDPVS2021ML;227071;PVB_2021;619;557;;10%;-10%;($62)
ru-RU;ESDPVS2021ML;227071;PVB_2021;6,510;;;;;
se-SE;ESDPVS2021ML;227071;PVB_2021;1,499;1,349;;10%;-10%;($150)
zh-HK;ESDPVS2021ML;227071;PVB_2021;1,240;1,116;;10%;-10%;($124)
zh-TW;ESDPVS2021ML;227071;PVB_2021;6,400;5,760;;10%;-10%;($640)
en-RW;ESDPVS2021ML;227071;PVB_2021;159.99;143.99;;10%;-10%;($16)
