en-CA;ESDWP2020HSEF;213747;OL_WP19HS;129.99;83.99;;35%;-35%;($46)
en-CA;WP2020HSEFMBAM;5181541300;OL_WP19HS;129.99;83.99;;35%;-35%;($46)
da-DK;ESDWP2020HSEF;213747;OL_WP19HS;1,386;900;;35%;-35%;($486)
de-LI;ESDWP2020HSEF;213747;OL_WP19HS;200.95;130;;35%;-35%;($71)
en-AU;ESDWP2020HSEF;213747;OL_WP19HS;199.95;129.95;;35%;-35%;($70)
en-GB;ESDWP2020HSEF;213747;OL_WP19HS;124.99;79.99;;35%;-36%;($45)
en-IE;ESDWP2020HSEF;213747;OL_WP19HS;164.99;104.99;;35%;-36%;($60)
en-NZ;ESDWP2020HSEF;213747;OL_WP19HS;199.95;129.95;;35%;-35%;($70)
en-US;ESDWP2020HSEF;213747;OL_WP19HS;99.99;64.99;;35%;-35%;($35)
en-US;WP2020HSEFMBAM;5181541300;OL_WP19HS;99.99;64.99;;35%;-35%;($35)
en-ZA;ESDWP2020HSEF;213747;OL_WP19HS;1 099;714;;35%;-35%;($385)
ja-JP;ESDWP2020HSEF;213747;OL_WP19HS;18,308;11,880;;35%;-35%;($6,428)
nb-NO;ESDWP2020HSEF;213747;OL_WP19HS;1,386;900;;35%;-35%;($486)
pt-BR;ESDWP2020HSEF;5181542100;OL_WP19HS;498;323;;35%;;
se-SE;ESDWP2020HSEF;213747;OL_WP19HS;1,522.99;989;;35%;-35%;($534)
en-RW;ESDWP2020HSEF;213747;OL_WP19HS;99.99;64.99;;35%;-35%;($35)
