en-CA;ESDWP2020STDEF;213721;OL_WP19;324.99;259.99;;CA$ 65;-20%;($65)
en-CA;ESDWP2020STDEFUG;213722;OL_WP19;207.99;164.99;;CA$ 40;-21%;($43)
en-CA;WP2020STDEFMBAM;5180173500;OL_WP19;324.99;259.99;;CA$ 65;-20%;($65)
en-CA;WP2020STDEFMBUGAM;5180173600;OL_WP19;207.99;164.99;;CA$ 40;-21%;($43)
en-US;ESDWP2020STDEF;213721;OL_WP19;249.99;199.99;;$50;-20%;($50)
en-US;ESDWP2020STDEFUG;213722;OL_WP19;159.99;124.99;;$35;-22%;($35)
en-US;WP2020STDEFMBAM;5180173500;OL_WP19;249.99;199.99;;$50;-20%;($50)
en-US;WP2020STDEFMBUGAM;5180173600;OL_WP19;159.99;124.99;;$35;-22%;($35)
en-GB;ESDWP2020STDENFR;168162;OL_WP18;319.99;249.99;;20%;-22%;($70)
en-GB;ESDWP2020STDENFRUG;168198;OL_WP18;154.99;119.99;;20%;-23%;($35)
en-IE;ESDWP2020STDENFR;168162;OL_WP18;414.99;329.99;;20%;-20%;($85)
en-IE;ESDWP2020STDENFRUG;168198;OL_WP18;204.99;159.99;;20%;-22%;($45)
