en-CA;ESDWP2020STDEF;213721;OL_WP19;324.99;219.99;;CA$ 105;-32%;($105);
en-CA;ESDWP2020STDEFUG;213722;OL_WP19;207.99;144.99;;CA$ 60;-30%;($63);
en-CA;WP2020STDEFMBAM;5180173500;OL_WP19;324.99;219.99;;CA$ 105;-32%;($105);
en-CA;WP2020STDEFMBUGAM;5180173600;OL_WP19;207.99;144.99;;CA$ 60;-30%;($63);
en-US;ESDWP2020STDEF;213721;OL_WP19;249.99;174.99;;$75;-28%;($70);
en-US;ESDWP2020STDEFUG;213722;OL_WP19;159.99;109.99;;$50;-31%;($50);
en-US;WP2020STDEFMBAM;5180173500;OL_WP19;249.99;174.99;;$75;-28%;($70);
en-US;WP2020STDEFMBUGAM;5180173600;OL_WP19;159.99;109.99;;$50;-31%;($50);
en-GB;ESDWP2020STDENFR;168162;OL_WP18;319.99;249.99;;20%;-22%;($70);
en-IE;ESDWP2020STDENFR;168162;OL_WP18;414.99;329.99;;20%;-20%;($85)
ja-JP;ESDWP2020STDENFR;168162;OL_WP18;44,021;30,800;;30%;-30%;-$13,207
