en-CA;ESDWP2020STDEF;213721;OL_WP19;324.99;209.99;;CA$ 115;-35%;($115)
en-CA;ESDWP2020STDEFUG;213722;OL_WP19;207.99;134.99;;CA$ 70;-35%;($73)
en-CA;WP2020STDEFMBAM;5180173500;OL_WP19;324.99;209.99;;CA$ 115;-35%;($115)
en-CA;WP2020STDEFMBUGAM;5180173600;OL_WP19;207.99;134.99;;CA$ 70;-35%;($73)
en-AU;ESDWP2020STDEF;213721;OL_WP19;399.95;259.95;;35%;-35%;($140)
en-AU;ESDWP2020STDEFUG;213722;OL_WP19;229.95;149.95;;35%;-35%;($80)
en-GB;ESDWP2020STDEF;213721;OL_WP19;319.99;207.99;;35%;-35%;($112)
en-GB;ESDWP2020STDEFUG;213722;OL_WP19;154.99;99.99;;35%;-35%;($55)
en-US;ESDWP2020STDEF;213721;OL_WP19;249.99;159.99;;$90;-36%;($90)
en-US;ESDWP2020STDEFUG;213722;OL_WP19;159.99;99.99;;$60;-38%;($60)
en-US;WP2020STDEFMBAM;5180173500;OL_WP19;249.99;159.99;;$90;-36%;($90)
en-US;WP2020STDEFMBUGAM;5180173600;OL_WP19;159.99;99.99;;$60;-38%;($60)
ja-JP;ESDWP2020STDEF;213721;OL_WP19;44,021;28,580;;35%;-35%;($15,408)
ja-JP;ESDWP2020STDEFUG;213722;OL_WP19;20,365;13,180;;35%;-35%;($7,128)
