en-CA;ESDWP2020STDEF;213721;OL_WP19;324.99;194.99;;CA$ 130;-40%;-$130
en-CA;ESDWP2020STDEFUG;213722;OL_WP19;207.99;123.99;;CA$ 84;-40%;-$84
en-CA;WP2020STDEFMBAM;5180173500;OL_WP19;324.99;194.99;;CA$ 130;-40%;-$130
en-CA;WP2020STDEFMBUGAM;5180173600;OL_WP19;207.99;123.99;;CA$ 84;-40%;-$84
de-LI;ESDWP2020STDEF;213721;OL_WP19;449;269;;40%;-40%;-$180
de-LI;ESDWP2020STDEFUG;213722;OL_WP19;220;132;;40%;-40%;-$88
en-AU;ESDWP2020STDEF;213721;OL_WP19;399.95;239.95;;40%;-40%;-$160
en-AU;ESDWP2020STDEFUG;213722;OL_WP19;229.95;137.95;;40%;-40%;-$92
en-GB;ESDWP2020STDEF;213721;OL_WP19;319.99;191.99;;40%;-40%;-$128
en-GB;ESDWP2020STDEFUG;213722;OL_WP19;154.99;92.99;;40%;-40%;-$62
en-IE;ESDWP2020STDEF;213721;OL_WP19;414.99;248.99;;40%;-40%;-$166
en-IE;ESDWP2020STDEFUG;213722;OL_WP19;204.99;122.99;;40%;-40%;-$82
en-MY;ESDWP2020STDEF;213721;OL_WP19;990;594;;40%;-40%;-$396
en-MY;ESDWP2020STDEFUG;213722;OL_WP19;490;294;;40%;-40%;-$196
en-NZ;ESDWP2020STDEF;213721;OL_WP19;399.95;239.95;;40%;-40%;-$160
en-NZ;ESDWP2020STDEFUG;213722;OL_WP19;199.95;119.95;;40%;-40%;-$80
en-SG;ESDWP2020STDEF;213721;OL_WP19;399;239;;40%;-40%;-$160
en-SG;ESDWP2020STDEFUG;213722;OL_WP19;199;119;;40%;-40%;-$80
en-US;ESDWP2020STDEF;213721;OL_WP19;249.99;149.99;;$100;-40%;-$100
en-US;ESDWP2020STDEFUG;213722;OL_WP19;159.99;95.99;;$64;-40%;-$64
en-US;WP2020STDEFMBAM;5180173500;OL_WP19;249.99;149.99;;$100;-40%;-$100
en-US;WP2020STDEFMBUGAM;5180173600;OL_WP19;159.99;95.99;;$64;-40%;-$64
ja-JP;ESDWP2020STDEF;213721;OL_WP19;44,021;26,380;;40%;-40%;-$17;641
ja-JP;ESDWP2020STDEFUG;213722;OL_WP19;20,365;12,180;;40%;-40%;-$8;185
pt-BR;ESDWP2020STDEF;5181541600;OL_WP19;500;300;;40%;-40%;-$200
pt-BR;ESDWP2020STDEFUG;5181541700;OL_WP19;330;198;;40%;-40%;-$132
se-SE;ESDWP2020STDEF;213721;OL_WP19;3,944.99;2,366;;40%;-40%;-$1,579
se-SE;ESDWP2020STDEFUG;213722;OL_WP19;1,959.99;1,175;;40%;-40%;-$785
